,CUSTOMER,Parameter.BondType,Parameter.Group,Parameter.No,Parameter.No_1,WIRE_SIZE,Parameter.Max,Parameter.Min,Parameter.Value,MEANX,PRED
173,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
174,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
175,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
176,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
177,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
178,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
179,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
180,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
181,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
182,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
183,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
184,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
185,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
186,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
187,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,22.951834592693974
188,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
189,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
190,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
191,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
192,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
193,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
194,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
195,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
196,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
197,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
198,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
199,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,22.951834592693974
200,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,23.03247880179859
201,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.883405665549557
202,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,23.03247880179859
203,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.883405665549557
204,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.992740843900926
205,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,23.03247880179859
206,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.992740843900926
207,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.883405665549557
208,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,23.03247880179859
209,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.883405665549557
210,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.992740843900926
211,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,23.03247880179859
212,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.883405665549557
213,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.992740843900926
214,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.992740843900926
215,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.992740843900926
216,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.03247880179859
217,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.03247880179859
218,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.992740843900926
219,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,23.03247880179859
220,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,22.883405665549557
221,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,22.992740843900926
222,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,22.883405665549557
223,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,22.992740843900926
224,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,23.03247880179859
225,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,22.883405665549557
226,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,23.03247880179859
227,STM,Normal Wire,3003,5,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,22.883405665549557
228,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,25.09,22.992740843900926
229,STM,BSOB Wire,3003,6,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,23.03247880179859
230,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.992740843900926
231,STM,BSOB Ball,3001,3,Contact,0.6 MIL GMG TYPE,0,0,0,22.108,22.992740843900926
